n, <eps> [J], <|m|>
   8.725000e-01,  -2.628571e-02,   5.828571e-02
   8.750000e-01,  -2.626781e-02,   5.817664e-02
   8.775000e-01,  -2.619318e-02,   5.801136e-02
   8.800000e-01,  -2.617564e-02,   5.790368e-02
   8.825000e-01,  -2.610169e-02,   5.774011e-02
   8.850000e-01,  -2.602817e-02,   5.757746e-02
   8.875000e-01,  -2.589888e-02,   5.747191e-02
   8.900000e-01,  -2.582633e-02,   5.731092e-02
   8.925000e-01,  -2.581006e-02,   5.720670e-02
   8.950000e-01,  -2.573816e-02,   5.704735e-02
   8.975000e-01,  -2.561111e-02,   5.694444e-02
   9.000000e-01,  -2.542936e-02,   5.689751e-02
   9.025000e-01,  -2.524862e-02,   5.685083e-02
   9.050000e-01,  -2.501377e-02,   5.685950e-02
   9.075000e-01,  -2.472527e-02,   5.692308e-02
   9.100000e-01,  -2.449315e-02,   5.693151e-02
   9.125000e-01,  -2.426230e-02,   5.693989e-02
   9.150000e-01,  -2.403270e-02,   5.694823e-02
   9.175000e-01,  -2.385870e-02,   5.690217e-02
   9.200000e-01,  -2.368564e-02,   5.685637e-02
   9.225000e-01,  -2.351351e-02,   5.681081e-02
   9.250000e-01,  -2.339623e-02,   5.671159e-02
   9.275000e-01,  -2.333333e-02,   5.655914e-02
   9.300000e-01,  -2.321716e-02,   5.646113e-02
   9.325000e-01,  -2.315508e-02,   5.631016e-02
   9.350000e-01,  -2.304000e-02,   5.621333e-02
   9.375000e-01,  -2.287234e-02,   5.617021e-02
   9.400000e-01,  -2.265252e-02,   5.618037e-02
   9.425000e-01,  -2.238095e-02,   5.624339e-02
   9.450000e-01,  -2.211082e-02,   5.630607e-02
   9.475000e-01,  -2.178947e-02,   5.642105e-02
   9.500000e-01,  -2.146982e-02,   5.653543e-02
   9.525000e-01,  -2.120419e-02,   5.659686e-02
   9.550000e-01,  -2.093995e-02,   5.665796e-02
   9.575000e-01,  -2.067708e-02,   5.671875e-02
   9.600000e-01,  -2.036364e-02,   5.683117e-02
   9.625000e-01,  -2.005181e-02,   5.694301e-02
   9.650000e-01,  -1.974160e-02,   5.705426e-02
   9.675000e-01,  -1.938144e-02,   5.721649e-02
   9.700000e-01,  -1.902314e-02,   5.737789e-02
   9.725000e-01,  -1.866667e-02,   5.753846e-02
   9.750000e-01,  -1.831202e-02,   5.769821e-02
   9.775000e-01,  -1.790816e-02,   5.790816e-02
   9.800000e-01,  -1.745547e-02,   5.816794e-02
   9.825000e-01,  -1.695431e-02,   5.847716e-02
   9.850000e-01,  -1.645570e-02,   5.878481e-02
   9.875000e-01,  -1.590909e-02,   5.914141e-02
   9.900000e-01,  -1.531486e-02,   5.954660e-02
   9.925000e-01,  -1.472362e-02,   5.994975e-02
   9.950000e-01,  -1.418546e-02,   6.030075e-02
   9.975000e-01,  -1.365000e-02,   6.065000e-02
   1.000000e+00,  -1.306733e-02,   6.104738e-02
   1.002500e+00,  -1.248756e-02,   6.144279e-02
   1.005000e+00,  -1.196030e-02,   6.178660e-02
   1.007500e+00,  -1.143564e-02,   6.212871e-02
   1.010000e+00,  -1.096296e-02,   6.241975e-02
   1.012500e+00,  -1.054187e-02,   6.266010e-02
   1.015000e+00,  -1.012285e-02,   6.289926e-02
   1.017500e+00,  -9.705882e-03,   6.313725e-02
   1.020000e+00,  -9.242054e-03,   6.342298e-02
   1.022500e+00,  -8.829268e-03,   6.365854e-02
   1.025000e+00,  -8.418491e-03,   6.389294e-02
   1.027500e+00,  -8.009709e-03,   6.412621e-02
   1.030000e+00,  -7.602906e-03,   6.435835e-02
   1.032500e+00,  -7.198068e-03,   6.458937e-02
   1.035000e+00,  -6.795181e-03,   6.481928e-02
   1.037500e+00,  -6.394231e-03,   6.504808e-02
   1.040000e+00,  -5.995204e-03,   6.527578e-02
   1.042500e+00,  -5.645933e-03,   6.545455e-02
   1.045000e+00,  -5.346062e-03,   6.558473e-02
   1.047500e+00,  -5.047619e-03,   6.571429e-02
   1.050000e+00,  -4.798100e-03,   6.579572e-02
   1.052500e+00,  -4.549763e-03,   6.587678e-02
   1.055000e+00,  -4.349882e-03,   6.591017e-02
   1.057500e+00,  -4.198113e-03,   6.589623e-02
   1.060000e+00,  -4.000000e-03,   6.592941e-02
   1.062500e+00,  -3.755869e-03,   6.600939e-02
   1.065000e+00,  -3.559719e-03,   6.604215e-02
   1.067500e+00,  -3.364486e-03,   6.607477e-02
   1.070000e+00,  -3.170163e-03,   6.610723e-02
   1.072500e+00,  -3.023256e-03,   6.609302e-02
   1.075000e+00,  -2.830626e-03,   6.612529e-02
   1.077500e+00,  -2.685185e-03,   6.611111e-02
   1.080000e+00,  -2.586605e-03,   6.605081e-02
   1.082500e+00,  -2.488479e-03,   6.599078e-02
   1.085000e+00,  -2.344828e-03,   6.597701e-02
   1.087500e+00,  -2.201835e-03,   6.596330e-02
   1.090000e+00,  -2.105263e-03,   6.590389e-02
   1.092500e+00,  -2.009132e-03,   6.584475e-02
